"Sentrix_ID","Tumor_Group","Color"
"201533610011_R03C01","ACT/ACC","#7049DE"
"201557510049_R01C01","ACT/ACC","#7049DE"
"201557510014_R02C01","ACT/ACC","#7049DE"
"201557510014_R04C01","ACT/ACC","#7049DE"
"201557510014_R03C01","ACT/ACC","#7049DE"
"201557510014_R06C01","ACT/ACC","#7049DE"
"201557510014_R07C01","ACT/ACC","#7049DE"
"201557510014_R08C01","ACT/ACC","#7049DE"
"201557510026_R01C01","ACT/ACC","#7049DE"
"201557510026_R02C01","ACT/ACC","#7049DE"
"201557510026_R03C01","ACT/ACC","#7049DE"
"201557510031_R03C01","ACT/ACC","#7049DE"
"201533610012_R03C01","ACT/ACC","#7049DE"
"201533610012_R08C01","ACT/ACC","#7049DE"
"201557510028_R02C01","ACT/ACC","#7049DE"
"201533610012_R07C01","ACT/ACC","#7049DE"
"201557510026_R07C01","ACT/ACC","#7049DE"
"201557510031_R01C01","ACT/ACC","#7049DE"
"201557510049_R02C01","ACT/ACC","#7049DE"
"201557510049_R03C01","ACT/ACC","#7049DE"
"201533610011_R04C01","ACT/ACC","#7049DE"
"201557510031_R07C01","ACT/ACC","#7049DE"
"201557510031_R06C01","ACT/ACC","#7049DE"
"201557510049_R04C01","ACT/ACC","#7049DE"
"201557510049_R07C01","ACT/ACC","#7049DE"
"201533610011_R02C01","ACT/ACC","#7049DE"
"201533610012_R04C01","ACT/ACC","#7049DE"
"201533610011_R06C01","ACT/ACC","#7049DE"
"201533610012_R01C01","ACT/ACC","#7049DE"
"201533610012_R05C01","ACT/ACC","#7049DE"
"201557510031_R04C01","ACT/ACC","#7049DE"
"201533610011_R08C01","ACT/ACC","#7049DE"
"204424030007_R07C01","ACT/ACC","#7049DE"
"204424030014_R08C01","ACT/ACC","#7049DE"
"204848240002_R02C01","ACT/ACC","#7049DE"
"204848240002_R03C01","ACT/ACC","#7049DE"
"204848060077_R05C01","ACT/ACC","#7049DE"
"204848060089_R01C01","ACT/ACC","#7049DE"
"204848060089_R08C01","ACT/ACC","#7049DE"
"204848060106_R01C01","ACT/ACC","#7049DE"
"204848060113_R01C01","ACT/ACC","#7049DE"
"204848060113_R03C01","ACT/ACC","#7049DE"
"204848240003_R01C01","ACT/ACC","#7049DE"
"204848240003_R02C01","ACT/ACC","#7049DE"
"205125590001_R08C01","ACT/ACC","#7049DE"
