"Sample","meth.class","meth.family","col"
"GSM2402854_5684819014_R03C02","GBM, G34","GBM, G34","#55c056"
"GSM2402855_5684819014_R05C02","DMG, K27","DMG, K27","#a3f187"
"GSM2402856_5684819014_R06C02","DMG, K27","DMG, K27","#a3f187"
"GSM2402857_5684819013_R05C02","DMG, K27","DMG, K27","#a3f187"
"GSM2402858_5684819014_R03C01","DMG, K27","DMG, K27","#a3f187"
"GSM2402859_5684819014_R01C02","GBM, G34","GBM, G34","#55c056"
"GSM2402860_5911815001_R04C01","GBM, G34","GBM, G34","#55c056"
"GSM2402861_5911815001_R03C01","DMG, K27","DMG, K27","#a3f187"
"GSM2402862_5911815001_R02C01","GBM, G34","GBM, G34","#55c056"
"GSM2402863_5684819013_R04C01","DMG, K27","DMG, K27","#a3f187"
"GSM2402864_5684819013_R03C02","DMG, K27","DMG, K27","#a3f187"
"GSM2402865_5684819014_R02C02","DMG, K27","DMG, K27","#a3f187"
"GSM2402866_5684819013_R02C01","ATRT, SHH","MCF ATRT","#009cea"
"GSM2402867_5684819013_R05C01","GBM, G34","GBM, G34","#55c056"
"GSM2402868_5911815023_R01C01","CONTR, CEBM","CONTR, CEBM","#bdbdbd"
"GSM2402869_5911815023_R02C01","CONTR, CEBM","CONTR, CEBM","#bdbdbd"
"GSM2402870_5684819026_R01C02","GBM, MYCN","MCF GBM ","#48e948"
"GSM2402871_5911815001_R03C02","DMG, K27","DMG, K27","#a3f187"
"GSM2402872_5911815023_R04C01","CONTR, CEBM","CONTR, CEBM","#bdbdbd"
"GSM2402873_5911815023_R05C01","CONTR, CEBM","CONTR, CEBM","#bdbdbd"
"GSM2402874_5911815023_R06C01","CONTR, CEBM","CONTR, CEBM","#bdbdbd"
"GSM2402875_5684819026_R02C01","DMG, K27","DMG, K27","#a3f187"
"GSM2402876_6164621155_R05C02","GBM, G34","GBM, G34","#55c056"
"GSM2402877_6164621081_R06C02","GBM, G34","GBM, G34","#55c056"
"GSM2402878_6164621131_R02C02","GBM, G34","GBM, G34","#55c056"
"GSM2402879_6164621081_R06C01","DMG, K27","DMG, K27","#a3f187"
"GSM2402880_6164621081_R04C02","GBM, G34","GBM, G34","#55c056"
"GSM2402881_6164621155_R03C01","DMG, K27","DMG, K27","#a3f187"
"GSM2402882_6164621131_R02C01","GBM, G34","GBM, G34","#55c056"
"GSM2402883_6164621131_R05C02","GBM, G34","GBM, G34","#55c056"
"GSM2402884_6969568005_R02C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402885_6929689168_R02C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402886_6969568005_R03C01","CONTR, REACT","CONTR, REACT","#d7d7d7"
"GSM2402887_6969568005_R04C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402888_6969568005_R05C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402889_6969568005_R06C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402890_6929689168_R03C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402891_6969568005_R01C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402892_6164621144_R06C02","LGG, PA MID","MCF PA","#b890e0"
"GSM2402893_6969568005_R03C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402894_6969568005_R04C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402895_6969568005_R05C02","LGG, PA MID","MCF PA","#b890e0"
"GSM2402896_6969568005_R06C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402897_6929689153_R02C01","LGG, PA MID","MCF PA","#b890e0"
"GSM2402898_6929689153_R06C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402899_6929689153_R01C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402900_6929689153_R02C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402901_6929689153_R04C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402902_6929689153_R05C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402903_6929689153_R06C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402904_6929689161_R01C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402905_6929689161_R04C01","LGG, PA MID","MCF PA","#b890e0"
"GSM2402906_6929689161_R05C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402907_6929689161_R06C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402908_6929689161_R01C02","LGG, RGNT","LGG, RGNT","#f79246"
"GSM2402909_6929689168_R05C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402910_6929689168_R01C01","MB, WNT","MB, WNT","#6da7d9"
"GSM2402911_6929689152_R06C02","MB, WNT","MB, WNT","#6da7d9"
"GSM2402912_6929689168_R05C01","MB, WNT","MB, WNT","#6da7d9"
"GSM2402913_6929689168_R02C01","MB, WNT","MB, WNT","#6da7d9"
"GSM2402914_6929689168_R03C01","MB, WNT","MB, WNT","#6da7d9"
"GSM2402915_6929689168_R06C01","ATRT, MYC","MCF ATRT","#006ead"
"GSM2402916_6929689168_R01C02","ATRT, SHH","MCF ATRT","#009cea"
"GSM2402917_6164621144_R04C02","ATRT, SHH","MCF ATRT","#009cea"
"GSM2402918_6969568004_R01C01","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2402919_6164621144_R04C01","ATRT, TYR","MCF ATRT","#44aeff"
