,title.class,color
1,A IDH,#ecbf00
2,"A IDH, HG",#ddca11
3,ANA PA,#734ba9
5,"ATRT, MYC",#006ead
6,"ATRT, SHH",#009cea
7,"ATRT, TYR",#44aeff
8,CHGL,#b37dec
9,CHORDM,#fa8cff
10,CN,#b85400
11,"CNS NB, FOXR2",#518ccb
12,"CONTR, ADENOPIT",#d3d3d3
13,"CONTR, CEBM",#bdbdbd
14,"CONTR, HEMI",#939393
15,"CONTR, HYPTHAL",#7e7e7e
16,"CONTR, INFLAM",#dbdbdb
17,"CONTR, PINEAL",#696969
18,"CONTR, PONS",#545454
19,"CONTR, REACT",#d7d7d7
20,"CONTR, WM",#a8a8a8
21,"CPH, ADM",#72d4c8
22,"CPH, PAP",#43dad7
23,DLGNT,#d1723a
24,"DMG, K27",#a3f187
25,"EFT, CIC",#955c9d
27,"ENB, A",#aa4a1c
28,"ENB, B",#ff8339
29,"EPN, MPE",#b90f38
30,"EPN, PF A",#e30149
31,"EPN, PF B",#df3854
32,"EPN, RELA",#d84c4b
33,"EPN, SPINE",#ff044c
34,"EPN, YAP",#fe576c
35,ETMR,#1693d6
36,EWS,#ce69ec
37,"GBM, G34",#55c056
38,"GBM, MES",#538533
39,"GBM, MID",#27780d
40,"GBM, MYCN",#48e948
41,"GBM, RTK I",#68c62d
42,"GBM, RTK II",#7af870
43,"GBM, RTK III",#78e435
45,"HGNET, BCOR",#739aca
46,"HGNET, MN1",#ab94c1
47,HMB,#ed5cfc
48,IHG,#d0bbd8
49,"LGG, DIG DIA",#cd4d00
50,"LGG, DNT",#cb5216
51,"LGG, GG",#e4703a
52,"LGG, MYB",#9159de
53,"LGG, PA GG ST",#764e90
54,"LGG, PA MID",#b890e0
55,"LGG, PA PF",#9d73c9
56,"LGG, RGNT",#f79246
57,"LGG, SEGA",#ad6ef1
58,LIPN,#de7b2c
59,LYMPHO,#3c1b46
60,"MB, G3",#0581be
61,"MB, G4",#9dc3f5
62,"MB, SHH CHL AD",#2e80c6
63,"MB, SHH INF",#8bc0ff
64,"MB, WNT",#6da7d9
65,MELAN,#0b4068
66,MELCYT,#102a46
67,MNG,#d566d7
68,O IDH,#ffe336
69,"PGG, nC",#f5811d
70,"PIN T, PB A",#cbf5af
71,"PIN T, PB B",#b6dc95
72,"PIN T, PPT",#b4f79b
73,"PITAD, ACTH",#137d75
74,"PITAD, FSH LH",#44a199
75,"PITAD, PRL",#00b1a9
76,"PITAD, STH DNS A",#01c3bd
77,"PITAD, STH DNS B",#14c5c9
78,"PITAD, STH SPA",#41ccbe
79,"PITAD, TSH",#12d7c7
80,PITUI,#58d8db
81,PLASMA,#632f63
82,"PLEX, AD",#7b3e0a
83,"PLEX, PED A",#9d5723
84,"PLEX, PED B",#754027
85,"PTPR, A",#aede8a
86,"PTPR, B",#bfff9c
87,PXA,#7c46c9
88,RETB,#ff9755
89,SCHW,#ffe1b2
90,"SCHW, MEL",#f7ca8a
91,SFT HMPC,#ff6dfa
92,"SUBEPN, PF",#dd052e
93,"SUBEPN, SPINE",#fa3b44
94,"SUBEPN, ST",#ff4156
